các | loài
sẽ không | làm
không làm | được
làm được | điều
được điều | gì
điều gì | thiếu
gì thiếu | nước
thiếu nước | da
nước da | sẽ
da sẽ | bị
sẽ bị | khô
bị khô | không
khô không | mịn
không mịn | màng
mịn màng | giảm
màng giảm | độ
giảm độ | đàn
độ đàn | hồi
đàn hồi | và
hồi và | nếp
và nếp | nhăn
nếp nhăn | xuất
nhăn xuất | hiện
xuất hiện | thủ
hiện thủ | thành
thủ thành | abbondanzieri
thành abbondanzieri | cùng
abbondanzieri cùng | hậu
cùng hậu | vệ
hậu vệ | heinze
vệ heinze | samuel
heinze samuel | sẽ
samuel sẽ | là
sẽ là | bộ
là bộ | ba
bộ ba | vững
ba vững | chắc
vững chắc | như
chắc như | ở
như ở | olympic
ở olympic | cần
olympic cần | phân
cần phân | biệt
phân biệt | sa
biệt sa | sút
sa sút | trí
sút trí | tuệ
trí tuệ | và
tuệ và | quên
và quên | lành
quên lành | tính
lành tính | do
tính do | tuổi
do tuổi | những
tuổi những | bài
những bài | hát
bài hát | như
hát như | hoài
như hoài | niệm
hoài niệm | vào
niệm vào | đời
vào đời | lời
đời lời | nguyện
lời nguyện | cầu
nguyện cầu | thật
cầu thật | sự
thật sự | ấn
sự ấn | tượng
ấn tượng | sau
tượng sau | bảy
sau bảy | tám
bảy tám | năm
tám năm | khổ
năm khổ | sở
khổ sở | với
sở với | mối
với mối | tình
mối tình | không
tình không | ra
không ra | ngô
ra ngô | cũng
ngô cũng | không
cũng không | ra
không ra | khoai
ra khoai | nhiều
khoai nhiều | lúc
nhiều lúc | chị
lúc chị | cảm
chị cảm | thấy
cảm thấy | như
thấy như | không
như không | đủ
không đủ | sức
đủ sức | để
sức để | theo
để theo | đuổi
theo đuổi | nữa
đuổi nữa | giờ
nữa giờ | đã
giờ đã | có
đã có | thêm
có thêm | sự
thêm sự | ủng
sự ủng | hộ
ủng hộ | của
hộ của | bà
của bà | mẹ
bà mẹ | chồng
mẹ chồng | chị
chồng chị | lại
chị lại | khấp
lại khấp | khởi
khấp khởi | hy
khởi hy | vọng
hy vọng | đây
vọng đây | là
đây là | bản
là bản | báo
bản báo | cáo
báo cáo | timss
cáo timss | thứ
timss thứ | 3
thứ 3 | bao
3 bao | gồm
bao gồm | các
gồm các | học
các học | sinh
học sinh | lớp
sinh lớp | 8
lớp 8 | tuổi
8 tuổi | 14
tuổi 14 | tại
14 tại | 46
tại 46 | quốc
46 quốc | gia
quốc gia | và
gia và | học
và học | sinh
học sinh | lớp
sinh lớp | 4
lớp 4 | 10
4 10 | tuổi
10 tuổi | tại
tuổi tại | 25
tại 25 | quốc
25 quốc | gia
quốc gia | đèn
gia đèn | có
đèn có | đặc
có đặc | thù
đặc thù | khác
thù khác | chỉ
khác chỉ | tính
chỉ tính | tại
tính tại | đh
tại đh | thái
đh thái | nguyên
thái nguyên | đã
nguyên đã | có
đã có | 227
có 227 | thí
227 thí | sinh
thí sinh | bị
sinh bị | đình
bị đình | chỉ
đình chỉ | thi
chỉ thi | do
thi do | mang
do mang | phao
mang phao | vào
phao vào | phòng
vào phòng | nay
phòng nay | thì
nay thì | con
thì con | số
con số | đó
số đó | đã
đó đã | cao
đã cao | gần
cao gần | gấp
gần gấp | đôi
những | cảnh
những cảnh | xếp
cảnh xếp | hàng
xếp hàng | rồng
hàng rồng | rắn
rồng rắn | còn
rắn còn | xuất
còn xuất | hiệu
xuất hiệu | ở
hiệu ở | nhiều
ở nhiều | nơi
nhiều nơi | khác
nơi khác | trên
khác trên | khắp
trên khắp | nước
khắp nước | mỹ
nước mỹ | trong
mỹ trong | ngày
trong ngày | bầu
ngày bầu | cử
bầu cử | dùng
cử dùng | chữa
dùng chữa | bệnh
chữa bệnh | tiểu
bệnh tiểu | đường
tiểu đường | khi
đường khi | mang
khi mang | thai
mang thai | ăn
thai ăn | nhiều
ăn nhiều | uống
nhiều uống | nhiều
râu | ngô
râu ngô | 50g
ngô 50g | nước
50g nước | 1
nước 1 | 5
1 5 | lít
5 lít | sắc
lít sắc | còn
sắc còn | 700ml
còn 700ml | chia
700ml chia | thành
chia thành | hai
thành hai | lần
hai lần | uống
lần uống | hết
uống hết | trong
hết trong | ngày
trong ngày | dùng
ngày dùng | chữa
dùng chữa | bệnh
chữa bệnh | tiểu
bệnh tiểu | đường
tiểu đường | khi
đường khi | mang
khi mang | thai
mang thai | khát
thai khát | nhiều
râu | ngô
râu ngô | 30
ngô 30 | 60g
30 60g | thịt
60g thịt | trai
thịt trai | 50
trai 50 | 200g
50 200g | cùng
200g cùng | nấu
cùng nấu | thêm
nấu thêm | gia
thêm gia | vị
gia vị | uống
vị uống | cách
uống cách | ngày
cách ngày | dùng
ngày dùng | chữa
dùng chữa | bệnh
chữa bệnh | tiểu
bệnh tiểu | đường
tiểu đường | miệng
đường miệng | khát
mướp | đắng
mướp đắng | 150g
đắng 150g | bỏ
150g bỏ | hạt
bỏ hạt | ruột
hạt ruột | rửa
ruột rửa | sạch
rửa sạch | thái
sạch thái | lát
thái lát | mỏng
lát mỏng | cho
mỏng cho | dầu
cho dầu | lạc
dầu lạc | vào
lạc vào | chảo
vào chảo | đun
chảo đun | sau
đun sau | cho
sau cho | mướp
cho mướp | đắng
mướp đắng | lửa
đắng lửa | to
lửa to | xào
to xào | đến
xào đến | 10
đến 10 | phần
10 phần | chín
phần chín | 7
chín 7 | thêm
7 thêm | 100g
thêm 100g | đậu
100g đậu | phụ
đậu phụ | chút
phụ chút | muối
chút muối | dùng
muối dùng | lửa
dùng lửa | to
lửa to | xào
to xào | đến
xào đến | chín
đến chín | mỗi
chín mỗi | ngày
mỗi ngày | ăn
ngày ăn | một
ăn một | lần
một lần | ăn
lần ăn | chữa
ăn chữa | bệnh
chữa bệnh | tiểu
bệnh tiểu | đường
tiểu đường | khi
đường khi | mang
khi mang | thai
mang thai | đói
thai đói | ăn
đói ăn | nhiều
hành | củ
hành củ | tươi
củ tươi | 100g
tươi 100g | rửa
100g rửa | sạch
rửa sạch | dùng
sạch dùng | nước
dùng nước | sôi
nước sôi | hãm
sôi hãm | thêm
hãm thêm | xì
thêm xì | dầu
xì dầu | vừa
dầu vừa | đủ
vừa đủ | làm
đủ làm | rau
làm rau | ăn
rau ăn | cơm
ăn cơm | mỗi
cơm mỗi | ngày
mỗi ngày | hai
ngày hai | lần
hai lần | dùng
lần dùng | chữa
dùng chữa | bệnh
chữa bệnh | tiểu
bệnh tiểu | đường
tiểu đường | khi
đường khi | mang
khi mang | thai
mang thai | ăn
thai ăn | nhiều
sinh | sơn
sinh sơn | dược
sơn dược | 120g
dược 120g | nấu
120g nấu | với
nấu với | 1
với 1 | lít
1 lít | nước
lít nước | thay
nước thay | trà
thay trà | uống
trà uống | lúc
uống lúc | ấm
lúc ấm | uống
ấm uống | hết
uống hết | thì
hết thì | ăn
thì ăn | sơn
ăn sơn | dược
bột | sinh
bột sinh | sơn
sinh sơn | dược
sơn dược | 80g
dược 80g | hạt
80g hạt | sen
hạt sen | bỏ
sen bỏ | lõi
bỏ lõi | 20g
lõi 20g | xích
20g xích | đậu
xích đậu | giã
đậu giã | nhừ
giã nhừ | 15g
nhừ 15g | bột
15g bột | gạo
bột gạo | nếp
gạo nếp | 500g
nếp 500g | trộn
500g trộn | đều
trộn đều | làm
đều làm | thành
làm thành | viên
thành viên | tròn
viên tròn | nhỏ
tròn nhỏ | nấu
nhỏ nấu | canh
nấu canh | cùng
canh cùng | ăn
cùng ăn | trong
ăn trong | khi
trong khi | đó
khi đó | tình
đó tình | hình
tình hình | bạo
hình bạo | lực
bạo lực | vẫn
lực vẫn | không
vẫn không | có
không có | chiều
có chiều | hướng
chiều hướng | giảm
hướng giảm | xuống
giảm xuống | tại
xuống tại | iraq
tại iraq | ông
iraq ông | nói
ông nói | đây
nói đây | là
đây là | việc
là việc | thuận
việc thuận | mua
thuận mua | vừa
mua vừa | bán
vừa bán | mặc
bán mặc | dù
mặc dù | phải
dù phải | chi
phải chi | tới
chi tới | 7
tới 7 | 56
7 56 | tỉ
56 tỉ | đồng
tỉ đồng | tiền
đồng tiền | chênh
tiền chênh | lệch
chênh lệch | cho
lệch cho | 1
cho 1 | 892m2
1 892m2 | đất
892m2 đất | từ
đất từ | khi
từ khi | xảy
khi xảy | ra
xảy ra | sự
ra sự | việc
sự việc | pmu18
việc pmu18 | thì
pmu18 thì | là
thì là | có
là có | vấn
có vấn | đề
vấn đề | tổ
đề tổ | chức
tổ chức | nhiều
chức nhiều | chương
nhiều chương | trình
chương trình | mang
trình mang | đậm
mang đậm | nét
đậm nét | văn
nét văn | hóa
văn hóa | truyền
hóa truyền | thống
truyền thống | như
thống như | lễ
như lễ | đưa
lễ đưa | ông
đưa ông | táo
ông táo | vào
táo vào | ngày
vào ngày | 23
ngày 23 | tháng
23 tháng | chạp
tháng chạp | 22
chạp 22 | 1
22 1 | 2006
1 2006 | lễ
2006 lễ | rước
lễ rước | ông
rước ông | táo
ông táo | ngày
táo ngày | 29
ngày 29 | tháng
29 tháng | chạp
tháng chạp | 28
chạp 28 | 1
28 1 | 2006
1 2006 | lễ
2006 lễ | rước
lễ rước | và
rước và | nấu
và nấu | bánh
nấu bánh | tét
bánh tét | kỷ
tét kỷ | lục
kỷ lục | vn
lục vn | dài
vn dài | 31m
dài 31m | từ
31m từ | 28
từ 28 | tháng
28 tháng | chạp
tháng chạp | đến
chạp đến | 29
đến 29 | tháng
29 tháng | chạp
tháng chạp | 27
chạp 27 | 1
27 1 | đến
1 đến | 28
đến 28 | 1
28 1 | 2006
1 2006 | chương
2006 chương | trình
chương trình | ẩm
trình ẩm | thực
ẩm thực | xuân
thực xuân | từ
xuân từ | mùng
từ mùng | 2
mùng 2 | đến
2 đến | mùng
đến mùng | 6
mùng 6 | tết
6 tết | không
tết không | biết
không biết | phép
biết phép | tắc
phép tắc | đó
tắc đó | nhắm
đó nhắm | mắt
nhắm mắt | làm
mắt làm | liều
làm liều | theo
liều theo | bản
theo bản | năng
bản năng | thì
năng thì | cơ
thì cơ | thể
cơ thể | sớm
thể sớm | bị
sớm bị | suy
bị suy | mòn
suy mòn | tuổi
mòn tuổi | thọ
tuổi thọ | sẽ
thọ sẽ | bị
sẽ bị | rút
bị rút | ngắn
nhưng | nếu
nhưng nếu | bố
nếu bố | mẹ
bố mẹ | tôi
mẹ tôi | không
tôi không | hiểu
không hiểu | cho
hiểu cho | tôi
cho tôi | tôi
tôi tôi | sẽ
tôi sẽ | rất
sẽ rất | đau
rất đau | đớn
đau đớn | bởi
đớn bởi | chúng
bởi chúng | tôi
chúng tôi | tuy
tôi tuy | giáp
tuy giáp | mặt
giáp mặt | nhau
mặt nhau | hằng
nhau hằng | ngày
hằng ngày | nhưng
ngày nhưng | lại
nhưng lại | như
lại như | người
như người | xa
người xa | lạ
nhưng | họ
nhưng họ | cũng
họ cũng | là
cũng là | những
là những | người
những người | phải
người phải | chịu
phải chịu | áp
chịu áp | lực
áp lực | và
lực và | chịu
và chịu | đau
chịu đau | khổ
đau khổ | hai
khổ hai | lao
hai lao | động
lao động | nữ
động nữ | vn
nữ vn | nhận
vn nhận | giải
nhận giải | thưởng
giải thưởng | lao
thưởng lao | động
lao động | tại
động tại | đài
tại đài | loan
đài loan | nlđ
loan nlđ | theo
nlđ theo | tin
theo tin | từ
tin từ | cục
từ cục | quản
cục quản | lý
quản lý | lao
lý lao | động
lao động | ngoài
động ngoài | nước
ngoài nước | chị
nước chị | trần
chị trần | thị
trần thị | hòa
thị hòa | và
hòa và | chị
và chị | đặng
chị đặng | thị
đặng thị | hòa
thị hòa | vừa
hòa vừa | nhận
vừa nhận | bằng
nhận bằng | khen
bằng khen | lao
khen lao | động
lao động | ưu
động ưu | tú
ưu tú | tại
tú tại | đài
tại đài | loan
đài loan | tuy
loan tuy | nhiên
tuy nhiên | với
nhiên với | lượng
với lượng | tiền
lượng tiền | quá
tiền quá | lớn
quá lớn | điều
lớn điều | này
điều này | rất
này rất | khó
rất khó | thực
khó thực | hiện
thực hiện | chúng
hiện chúng | trêu
chúng trêu | thủy
trêu thủy | cô
thủy cô | có
cô có | mua
có mua | thằng
mua thằng | này
thằng này | không
này không | cho
không cho | con
cho con | bú
con bú | để
bú để | tránh
để tránh | có
tránh có | thai
có thai | có
thai có | hiệu
có hiệu | quả
hiệu quả | không
quả không | tính
không tính | đến
tính đến | nay
đến nay | liên
nay liên | quan
liên quan | đến
quan đến | vụ
đến vụ | án
vụ án | này
án này | cơ
này cơ | quan
cơ quan | an
quan an | ninh
an ninh | điều
ninh điều | tra
điều tra | đã
tra đã | khởi
đã khởi | tố
khởi tố | 10
tố 10 | bị
10 bị | can
bị can | trong
can trong | đó
trong đó | có
đó có | 9
có 9 | bị
9 bị | can
bị can | bị
can bị | tạm
bị tạm | giam
tạm giam | một
giam một | quả
một quả | bom
quả bom | đặt
bom đặt | bên
đặt bên | vệ
bên vệ | đường
vệ đường | đã
đường đã | phát
đã phát | nổ
phát nổ | tại
nổ tại | quảng
tại quảng | trường
quảng trường | tahreer
trường tahreer | baghdad
tahreer baghdad | gần
baghdad gần | cây
gần cây | cầu
cây cầu | chính
cầu chính | bắc
chính bắc | qua
bắc qua | sông
qua sông | tigris
sông tigris | phá
tigris phá | huỷ
phá huỷ | một
huỷ một | xe
một xe | quân
xe quân | sự
quân sự | mỹ
sự mỹ | xin
mỹ xin | đồng
xin đồng | chí
đồng chí | đánh
chí đánh | giá
đánh giá | về
giá về | trách
về trách | nhiệm
trách nhiệm | để
nhiệm để | xảy
để xảy | ra
xảy ra | vụ
ra vụ | tiêu
vụ tiêu | cực
tiêu cực | này
cực này | của
này của | các
của các | tổ
các tổ | chức
tổ chức | đảng
chức đảng | cũng
đảng cũng | như
cũng như | người
như người | đứng
người đứng | đầu
đứng đầu | ở
đầu ở | pmu
ở pmu | 18
pmu 18 | và
18 và | bộ
và bộ | gtvt
bộ gtvt | ngọc
gtvt ngọc | khuê
ngọc khuê | giải
khuê giải | nhì
giải nhì | sao
nhì sao | mai
sao mai | 2003
mai 2003 | trong
2003 trong | dòng
trong dòng | nhạc
dòng nhạc | lạ
nhạc lạ | không
lạ không | mấy
không mấy | khó
mấy khó | khăn
khó khăn | khi
khăn khi | tìm
khi tìm | được
tìm được | chỗ
được chỗ | cho
chỗ cho | mình
cho mình | vào
mình vào | tới
vào tới | chung
tới chung | kết
chung kết | bà
kết bà | ellen
bà ellen | johnson
ellen johnson | sirleaf
johnson sirleaf | được
sirleaf được | biết
được biết | đến
biết đến | với
đến với | biệt
với biệt | danh
biệt danh | người
danh người | đàn
người đàn | bà
đàn bà | thép
bà thép | lấy
thép lấy | từ
lấy từ | biệt
từ biệt | danh
biệt danh | của
danh của | cựu
của cựu | thủ
cựu thủ | tướng
thủ tướng | anh
tướng anh | maragaret
anh maragaret | thatcher
maragaret thatcher | đã
thatcher đã | tốt
đã tốt | nghiệp
tốt nghiệp | đh
nghiệp đh | harvard
đh harvard | và
harvard và | từng
và từng | là
từng là | một
là một | chuyên
một chuyên | viên
chuyên viên | kinh
viên kinh | tế
kinh tế | của
tế của | ngân
của ngân | hàng
ngân hàng | thế
hàng thế | giới
thế giới | world
giới world | bank
world bank | nhđá
bank nhđá | thể
nhđá thể | công
thể công | 1
công 1 | 1
1 1 | thêm
1 thêm | vào
thêm vào | đó
vào đó | những
đó những | model
những model | máy
model máy | hướng
máy hướng | tới
hướng tới | người
tới người | dùng
người dùng | có
dùng có | thể
có thể | có
thể có | cổng
có cổng | firewire
cổng firewire | ieee
firewire ieee | 1394
ieee 1394 | unesco
1394 unesco | vừa
unesco vừa | công
vừa công | nhận
công nhận | không
nhận không | gian
không gian | văn
gian văn | hóa
văn hóa | cồng
hóa cồng | chiêng
cồng chiêng | tây
chiêng tây | nguyên
tây nguyên | là
nguyên là | di
là di | sản
di sản | phi
sản phi | vật
phi vật | thể
vật thể | và
thể và | truyền
và truyền | khẩu
truyền khẩu | của
khẩu của | nhân
của nhân | loại
nhân loại | đây
loại đây | có
đây có | thể
có thể | là
thể là | nguyên
là nguyên | nhân
nguyên nhân | dẫn
nhân dẫn | đến
dẫn đến | tình
đến tình | trạng
tình trạng | cao
trạng cao | huyết
cao huyết | áp
huyết áp | ở
áp ở | 16
ở 16 | triệu
16 triệu | người
triệu người | anh
người anh | công
anh công | nghệ
công nghệ | tìm
nghệ tìm | kiếm
tìm kiếm | tùy
kiếm tùy | biến
tùy biến | và
biến và | search
và search | trong
search trong | ổ
trong ổ | cứng
ổ cứng | được
cứng được | đánh
được đánh | giá
đánh giá | là
giá là | những
là những | ứng
những ứng | cử
ứng cử | viên
cử viên | trong
viên trong | lĩnh
trong lĩnh | vực
lĩnh vực | tìm
vực tìm | kiếm
tìm kiếm | gánh
kiếm gánh | nặng
gánh nặng | có
nặng có | vẻ
có vẻ | nghiêng
vẻ nghiêng | về
nghiêng về | phía
về phía | bà
phía bà | xã
bà xã | hơn
xã hơn | nhưng
hơn nhưng | chí
nhưng chí | trung
chí trung | bảo
trung bảo | 2
bảo 2 | vợ
2 vợ | chồng
vợ chồng | sống
chồng sống | 26
sống 26 | năm
26 năm | có
năm có | lẻ
có lẻ | nên
lẻ nên | quá
nên quá | quen
quá quen | với
quen với | tính
với tính | cách
tính cách | của
cách của | nhau
của nhau | và
nhau và | cũng
và cũng | quá
cũng quá | muộn
quá muộn | để
muộn để | bà
để bà | xã
bà xã | phàn
xã phàn | nàn
chí | trung
chí trung | hiện
trung hiện | là
hiện là | trưởng
là trưởng | đoàn
trưởng đoàn | kịch
đoàn kịch | 2
kịch 2 | của
2 của | nhà
của nhà | hát
nhà hát | tuổi
hát tuổi | trẻ
tuổi trẻ | tổ
trẻ tổ | chức
tổ chức | đưa
chức đưa | đoàn
đưa đoàn | đi
đoàn đi | diễn
đi diễn | 63
diễn 63 | tỉnh
63 tỉnh | thành
tỉnh thành | trong
thành trong | cả
trong cả | nước
cả nước | khi
nước khi | chúng
khi chúng | ta
chúng ta | đang
ta đang | phải
đang phải | sống
phải sống | trong
sống trong | đau
trong đau | khổ
đau khổ | và
khổ và | thất
và thất | vọng
thất vọng | vì
vọng vì | những
vì những | gì
những gì | đã
gì đã | mất
đã mất | và
mất và | thực
và thực | tại
thực tại | cũng
tại cũng | không
cũng không | tốt
không tốt | đẹp
tốt đẹp | gì
đẹp gì | thế
gì thế | cân
thế cân | bằng
cân bằng | bị
bằng bị | phá
bị phá | vỡ
phá vỡ | ngay
vỡ ngay | ở
ngay ở | phút
ở phút | thứ
phút thứ | 7
thứ 7 | khi
7 khi | zizou
khi zizou | đẩy
zizou đẩy | bóng
đẩy bóng | tinh
bóng tinh | tế
tinh tế | và
tế và | guti
và guti | trả
guti trả | lời
trả lời | bằng
lời bằng | pha
bằng pha | dứt
pha dứt | điểm
dứt điểm | chính
điểm chính | xác
chính xác | thủ
xác thủ | môn
thủ môn | palop
môn palop | trong
palop trong | khi
trong khi | đó
khi đó | tất
đó tất | cả
tất cả | mọi
cả mọi | người
mọi người | đều
người đều | biết
đều biết | rằng
biết rằng | iran
rằng iran | không
iran không | chỉ
không chỉ | không
chỉ không | sở
không sở | hữu
sở hữu | bom
hữu bom | hạt
bom hạt | nhân
hạt nhân | mà
nhân mà | các
mà các | hoạt
các hoạt | động
hoạt động | hạt
động hạt | nhân
hạt nhân | của
nhân của | tehran
của tehran | cũng
tehran cũng | không
cũng không | chệch
không chệch | hướng
chệch hướng | hiệp
hướng hiệp | ước
hiệp ước | chống
ước chống | phổ
chống phổ | biến
phổ biến | vũ
biến vũ | khí
vũ khí | hạt
khí hạt | nhân
hạt nhân | npt
nhân npt | ông
npt ông | nói
ông nói | khi
nói khi | giá
khi giá | xe
giá xe | giảm
xe giảm | tới
giảm tới | điểm
tới điểm | cân
điểm cân | bằng
cân bằng | chi
bằng chi | phí
chi phí | nó
phí nó | sẽ
nó sẽ | dừng
sẽ dừng | lại
dừng lại | tuy
lại tuy | nhiên
tuy nhiên | cùng
nhiên cùng | ngày
cùng ngày | đài
ngày đài | bbc
đài bbc | dẫn
bbc dẫn | một
dẫn một | nguồn
một nguồn | tin
nguồn tin | từ
tin từ | bộ
từ bộ | quốc
bộ quốc | phòng
quốc phòng | anh
phòng anh | bác
anh bác | bỏ
bác bỏ | thông
bỏ thông | tin
thông tin | về
tin về | cuộc
về cuộc | họp
cuộc họp | nói
họp nói | trên
nói trên | không
trên không | chỉ
không chỉ | giúp
chỉ giúp | lối
giúp lối | chơi
lối chơi | của
chơi của | lyon
của lyon | uyển
lyon uyển | chuyển
uyển chuyển | và
chuyển và | khó
và khó | lường
khó lường | juninho
lường juninho | còn
juninho còn | trực
còn trực | tiếp
trực tiếp | uy
tiếp uy | hiếp
uy hiếp | khung
hiếp khung | thành
khung thành | thủ
thành thủ | môn
thủ môn | casillas
môn casillas | bằng
casillas bằng | những
bằng những | pha
những pha | đá
pha đá | phạt
đá phạt | khi
phạt khi | các
khi các | nhà
các nhà | báo
nhà báo | đặt
báo đặt | vấn
đặt vấn | đề
vấn đề | lúc
đề lúc | đưa
lúc đưa | vào
đưa vào | sử
vào sử | dụng
sử dụng | nước
dụng nước | thoát
nước thoát | sẽ
thoát sẽ | không
sẽ không | chảy
không chảy | xuôi
chảy xuôi | mà
xuôi mà | chảy
mà chảy | ngược
chảy ngược | từ
ngược từ | hạ
từ hạ | nguồn
hạ nguồn | lên
nguồn lên | thượng
lên thượng | nguồn
thượng nguồn | thì
nguồn thì | chủ
thì chủ | đầu
chủ đầu | tư
đầu tư | và
tư và | đơn
và đơn | vị
đơn vị | thi
vị thi | công
thi công | đều
công đều | quả
đều quả | quyết
quả quyết | rằng
quyết rằng | đã
rằng đã | làm
đã làm | đúng
làm đúng | theo
đúng theo | thiết
theo thiết | kế
thiết kế | được
kế được | duyệt
được duyệt | ước
duyệt ước | là
ước là | ước
là ước | vậy
ước vậy | thôi
vậy thôi | nhưng
thôi nhưng | không
nhưng không | làm
không làm | khác
làm khác | được
khác được | đâu
được đâu | chị
đâu chị | ạ
chị ạ | tiếc
ạ tiếc | là
tiếc là | niềm
là niềm | vui
niềm vui | ấy
vui ấy | đã
ấy đã | không
đã không | đến
không đến | trong
đến trong | trận
trong trận | chung
trận chung | kết
chung kết | ảnh
kết ảnh | h
ảnh h | anh
h anh | các
anh các | nhà
các nhà | điều
nhà điều | hành
điều hành | bóng
hành bóng | đá
bóng đá | vn
đá vn | phải
vn phải | rút
phải rút | bài
rút bài | học
bài học | giá
học giá | trị
giá trị | khi
trị khi | dùng
khi dùng | tiền
dùng tiền | để
tiền để | đổi
để đổi | thành
đổi thành | tích
thành tích | mà
tích mà | không
mà không | nghĩ
không nghĩ | đến
nghĩ đến | khía
đến khía | cạnh
khía cạnh | nhân
cạnh nhân | cách
nhân cách | cầu
cách cầu | thủ
cầu thủ | kilfedder
thủ kilfedder | đã
kilfedder đã | thiết
đã thiết | kế
thiết kế | chiếc
kế chiếc | túi
chiếc túi | xách
túi xách | tay
xách tay | suntrap
tay suntrap | một
suntrap một | loại
một loại | túi
loại túi | được
túi được | nạp
được nạp | năng
nạp năng | lượng
năng lượng | mặt
lượng mặt | trời
mặt trời | bằng
trời bằng | cách
bằng cách | hấp
cách hấp | thụ
hấp thụ | ánh
thụ ánh | sáng
ánh sáng | ban
sáng ban | ngày
ban ngày | và
ngày và | phát
và phát | sáng
phát sáng | vào
sáng vào | ban
vào ban | đêm
ban đêm | để
đêm để | chủ
để chủ | nhân
chủ nhân | dễ
nhân dễ | dàng
dễ dàng | nhìn
dàng nhìn | được
nhìn được | vật
được vật | bên
vật bên | trong
bên trong | ban
trong ban | nhạc
ban nhạc | t
nhạc t | a
t a | t
a t | u
t u | thay
u thay | tên
thay tên | nhưng
tên nhưng | vì
nhưng vì | sao
vì sao | không
sao không | được
không được | tiếp
được tiếp | tục
tiếp tục | xử
tục xử | lý
xử lý | thì
lý thì | cái
thì cái | đó
cái đó | ngoài
đó ngoài | trách
ngoài trách | nhiệm
trách nhiệm | của
nhiệm của | công
của công | an
công an | thành
an thành | phố
thành phố | fifa
phố fifa | phạt
fifa phạt | nặng
phạt nặng | thổ
nặng thổ | nhĩ
thổ nhĩ | kỳ
nhĩ kỳ | cầu
kỳ cầu | thủ
cầu thủ | hai
thủ hai | bên
hai bên | ẩu
bên ẩu | đả
ẩu đả | sau
đả sau | trận
sau trận | play
trận play | off
play off | 6
off 6 | trận
6 trận | phải
trận phải | đá
phải đá | trên
đá trên | sân
trên sân | trung
sân trung | lập
trung lập | và
lập và | không
và không | khán
không khán | giả
khán giả | là
giả là | hình
là hình | thức
hình thức | kỷ
thức kỷ | luật
kỷ luật | của
luật của | fifa
của fifa | dành
fifa dành | cho
dành cho | đội
cho đội | tuyển
đội tuyển | thỗ
tuyển thỗ | nhĩ
thỗ nhĩ | kỳ
nhĩ kỳ | vì
kỳ vì | vụ
vì vụ | ẩu
vụ ẩu | đả
ẩu đả | ở
đả ở | trận
ở trận | play
trận play | off
play off | world
off world | cup
world cup | 2006
cup 2006 | tháng
2006 tháng | 11
tháng 11 | 2005
điều | này
điều này | đồng
này đồng | nghĩa
đồng nghĩa | với
nghĩa với | việc
với việc | họ
việc họ | sẽ
họ sẽ | không
sẽ không | được
không được | chơi
được chơi | trận
chơi trận | nào
trận nào | trước
nào trước | khán
trước khán | giả
khán giả | nhà
giả nhà | trong
nhà trong | suốt
trong suốt | vòng
suốt vòng | loại
vòng loại | euro
loại euro | 2008
bọn | cướp
bọn cướp | đã
cướp đã | để
đã để | lại
để lại | một
lại một | gói
một gói | hàng
gói hàng | khiến
hàng khiến | cảnh
khiến cảnh | sát
cảnh sát | phải
sát phải | sơ
phải sơ | tán
sơ tán | một
tán một | phần
một phần | sân
phần sân | bay
sân bay | vì
bay vì | nghi
vì nghi | ngờ
nghi ngờ | đó
ngờ đó | là
đó là | thuốc
là thuốc | nổ
thuốc nổ | pha
nổ pha | quay
pha quay | chậm
quay chậm | sau
chậm sau | đó
sau đó | đã
đó đã | chứng
đã chứng | minh
chứng minh | quyết
minh quyết | định
quyết định | trên
định trên | là
trên là | đúng
là đúng | đắn
đúng đắn | bởi
đắn bởi | trước
bởi trước | khi
trước khi | nhận
khi nhận | bóng
nhận bóng | từ
bóng từ | chân
từ chân | của
chân của | sorin
của sorin | franco
sorin franco | đã
franco đã | đứng
đã đứng | dưới
đứng dưới | hàng
dưới hàng | hậu
hàng hậu | vệ
hậu vệ | arsenal
vệ arsenal | cả
arsenal cả | thước
cả thước | qua
thước qua | đó
qua đó | cựu
đó cựu | cầu
cựu cầu | thủ
cầu thủ | của
thủ của | olympics
của olympics | marseille
olympics marseille | giành
marseille giành | giải
giành giải | thưởng
giải thưởng | với
thưởng với | số
với số | điểm
số điểm | 355
điểm 355 | 11
355 11 | 800
11 800 | loài
800 loài | kiến
loài kiến | hiện
kiến hiện | đại
hiện đại | được
đại được | biết
được biết | đến
biết đến | ngày
đến ngày | nay
ngày nay | dường
nay dường | như
dường như | đã
như đã | phát
đã phát | sinh
phát sinh | từ
sinh từ | một
từ một | loài
một loài | đơn
loài đơn | lẻ
đơn lẻ | cách
lẻ cách | đây
cách đây | hàng
đây hàng | triệu
hàng triệu | năm
triệu năm | song
năm song | trước
song trước | kia
trước kia | các
kia các | nhà
các nhà | khoa
nhà khoa | học
khoa học | biết
học biết | rất
biết rất | ít
rất ít | về
ít về | lịch
về lịch | sử
lịch sử | tiến
sử tiến | hoá
tiến hoá | của
hoá của | chúng
của chúng | mọi
chúng mọi | người
mọi người | trang
người trang | nghiêm
trang nghiêm | nghe
nghiêm nghe | ông
nghe ông | trùm
ông trùm | săn
trùm săn | nói
săn nói | lời
nói lời | cảm
lời cảm | tạ
cảm tạ | trời
tạ trời | đất
trời đất | núi
